31/05/2016,"Reference: AT161530021000010090628"," 2.53","TESCO SELF SERVICE LONDON"," Process Date 01/06/2016",
31/05/2016,"Reference: AT161530021000010096548"," 27.98","TK MAXX LONDON"," Process Date 01/06/2016",
01/06/2016,"Reference: AT161540015000010082945"," 17.38","AMAZON UK MARKETPLACE 800-279-6620"," Process Date 01/06/2016",
01/06/2016,"Reference: AT161540015000010083833"," 11.99","AMAZON UK MARKETPLACE 800-279-6620"," Process Date 01/06/2016",
01/06/2016,"Reference: AT161540015000010089750"," 2.93","TESCO SELF SERVICE LONDON"," Process Date 02/06/2016",
01/06/2016,"Reference: AT161540015000010090281"," 3.15","TESCO STORES 2259 SUTTON"," Process Date 02/06/2016",
02/06/2016,"Reference: AT161550013000010082095"," 6.85","LEON (SPITALFIELDS) LONDON"," Process Date 02/06/2016",
02/06/2016,"Reference: AT161550013000010082096"," 4.90","LEON (SPITALFIELDS) LONDON"," Process Date 02/06/2016",
02/06/2016,"Reference: AT161550013000010095382"," 2.53","TESCO SELF SERVICE LONDON"," Process Date 03/06/2016",
02/06/2016,"Reference: AT161550013000010096979"," 6.00","TESCO STORES 2259 SUTTON"," Process Date 03/06/2016",
03/06/2016,"Reference: AT161560008000010063952"," 2.19","WAITROSE CHEAM SUTTON","559 Cheam SCO Process Date 03/06/2016  559 Cheam SCO",
04/06/2016,"Reference: AT161570008000010092483"," 16.50","SUSHI TAMA SUTTON"," Process Date 04/06/2016",
04/06/2016,"Reference: AT161570008000010089901"," 19.80","THE ADVENTURE BAR CO LONDON"," Process Date 04/06/2016",
04/06/2016,"Reference: AT161570008000010089902"," 19.80","THE ADVENTURE BAR CO LONDON"," Process Date 04/06/2016",
04/06/2016,"Reference: AT161570008000010089904"," 39.00","THE ADVENTURE BAR CO LONDON"," Process Date 04/06/2016",
05/06/2016,"Reference: AT161580017000010057317"," 17.95","SAINSBURY'S SUPERMARKET SUTTON"," Process Date 05/06/2016",
05/06/2016,"Reference: AT161580017000010091622"," 22.62","TESCO STORES 2259 SUTTON"," Process Date 06/06/2016",
06/06/2016,"Reference: AT161590017000010070119"," 7.11","BOOTS THE CHEMIST LONDON","MERCHANDISE Process Date 06/06/2016  MERCHANDISE",
06/06/2016,"Reference: AT161590017000010086155"," 3.45","LEON (SPITALFIELDS) LONDON"," Process Date 06/06/2016",
06/06/2016,"Reference: AT161590017000010078676"," 4.49","POD FOOD LONDON","Pod Food Ltd/Grace Church Stre Process Date 06/06/2016  Pod Food Ltd/Grace Church Stre",
19/04/2016,"Reference: AT161110021000010080199"," 6.95","LEON (SPITALFIELDS) LONDON"," Process Date 19/04/2016",
19/04/2016,"Reference: AT161110021000010094166"," 7.55","MARKS & SPENCER PLC LONDON"," Process Date 20/04/2016",
19/04/2016,"Reference: AT161110021000010086383"," 3.13","MARKS & SPENCER- FENCHU LONDON","RETAIL GOODS Process Date 20/04/2016  RETAIL GOODS",
20/04/2016,"Reference: AT161120023000010091358"," 2.53","TESCO SELF SERVICE LONDON"," Process Date 21/04/2016",
21/04/2016,"Reference: AT161140010000010055810"," 41.10","HOGSHEAD - TURF TAVERN OXFORD"," Process Date 22/04/2016",
21/04/2016,"Reference: AT161130025000010097685"," 3.40","TESCO SELF SERVICE OXFORD"," Process Date 22/04/2016",
21/04/2016,"Reference: AT161130025000010097684"," 1.31","TESCO STORES 6167 OXFORD"," Process Date 22/04/2016",
22/04/2016,"Reference: AT161160019000010095706"," 184.10","MERCURE OXFORD EASTGATE OXFORD","MERCHANDISE Process Date 25/04/2016  MERCHANDISE",
22/04/2016,"Reference: AT161140010000010063603"," 41.75","Shell 052015 Shell Head Oxford"," Process Date 22/04/2016",
23/04/2016,"Reference: AT161150010000010101050"," 4.75","COSTA ST. PANCRAS LONDON","HOSPITALITY-GOODS-SERVICES Process Date 24/04/2016  HOSPITALITY-GOODS-SERVICES",
26/04/2016,"Reference: AT161180021000010079664"," 6.85","LEON (SPITALFIELDS) LONDON"," Process Date 26/04/2016",
26/04/2016,"Reference: AT161180021000010088499"," 1.53","TESCO STORES 2097 LONDON"," Process Date 27/04/2016",
27/04/2016,"Reference: AT161190019000010079309"," 24.99","AMAZON SVCS EUROPE,SAR AMAZON.CO.UK"," Process Date 27/04/2016",
27/04/2016,"Reference: AT161190019000010094071"," 3.93","TESCO STORES 2097 LONDON"," Process Date 28/04/2016",
28/04/2016,"Reference: AT161200015000010093232"," 8.29","CHILANGOS LONDON","GOODS OR SERVICES Process Date 28/04/2016  GOODS OR SERVICES",
28/04/2016,"Reference: AT161200015000010081257"," 5.99","ITSU LONDON","ITSU 047 Spital Square Process Date 28/04/2016  ITSU 047 Spital Square",
28/04/2016,"Reference: AT161200015000010092055"," 2.53","MARKS & SPENCER- FENCHU LONDON","RETAIL GOODS Process Date 28/04/2016  RETAIL GOODS",
29/04/2016,"Reference: AT161200056000010003187"," -375.87","PAYMENT RECEIVED - THANK YOU"," Process Date 29/04/2016",
29/04/2016,"Reference: AT161210009000010071453"," 4.49","POD FOOD LONDON","Pod Food Ltd/Grace Church Stre Process Date 29/04/2016  Pod Food Ltd/Grace Church Stre",
29/04/2016,"Reference: AT161210009000010071454"," 2.40","POD FOOD LONDON","Pod Food Ltd/Grace Church Stre Process Date 29/04/2016  Pod Food Ltd/Grace Church Stre",
30/04/2016,"Reference: AT161220010000010061749"," 9.57","BOOTS THE CHEMIST GATWICK","MERCHANDISE Process Date 30/04/2016  MERCHANDISE",
30/04/2016,"Reference: AT161220010000010084953"," 41.40","JAMIES ITALIAN GATWICK GATWICK","GOODS OR SERVICES Process Date 30/04/2016  GOODS OR SERVICES",
30/04/2016,"Reference: AT161220010000010073031"," 353.40","ONE CALL INSURANCE SERV DONCASTER","na Process Date 30/04/2016  na",
30/04/2016,"Reference: AT161220010000010057029"," 5.49","PRET A MANGER GATWICK AIRPORT"," Process Date 30/04/2016",
02/05/2016,"Reference: AT161240019000010067840"," 221.13","GEANT CASINO GASSIN","273,76 EUR COMM.FEE 6.42 Process Date 02/05/2016 Currency Conversion Rate 1.275 Commission Amount 6.42",
02/05/2016,"Reference: AT161240019000010103995"," 10.30","GRO INFLIGHT SHOP LUTON"," Process Date 03/05/2016",
14/05/2016,"Reference: AT161370017000010098867"," 240.97","EUROPCAR FRANCE ST QUENTIN YVEL","296,51 EUR COMM.FEE 7.00 Process Date 16/05/2016 Currency Conversion Rate 1.2672 Commission Amount 7.00",
15/05/2016,"Reference: AT161370017000010079243"," 19.99","AMAZON UK RETAIL AMAZON.CO.UK"," Process Date 15/05/2016",
15/05/2016,"Reference: AT161370017000010058349"," 18.55","SAINSBURY'S SPRMRKTS LT SUTTON"," Process Date 15/05/2016",
16/05/2016,"Reference: AT161370069000010004804"," 2.10","AMAZON UK MARKETPLACE 800-279-6620"," Process Date 16/05/2016",
16/05/2016,"Reference: AT161370069000010004906"," 12.99","AMAZON UK MARKETPLACE 800-279-6620"," Process Date 16/05/2016",
16/05/2016,"Reference: AT161370069000010007332"," 2.20","AMAZON UK MARKETPLACE 800-279-6620"," Process Date 16/05/2016",
16/05/2016,"Reference: AT161380021000010094092"," 6.03","TESCO SELF SERVICE LONDON"," Process Date 17/05/2016",
17/05/2016,"Reference: AT161390017000010084257"," 6.99","AMAZON UK RETAIL AMAZON.CO.UK"," Process Date 17/05/2016",
17/05/2016,"Reference: AT161390017000010082552"," 8.48","PREZZO SUTTON","3262 - Prezzo CHEAM Process Date 17/05/2016  3262 - Prezzo CHEAM",
17/05/2016,"Reference: AT161390017000010091584"," 1.53","TESCO STORES 2097 LONDON"," Process Date 18/05/2016",
18/05/2016,"Reference: AT161400021000010090948"," 1.79","TESCO SELF SERVICE LONDON"," Process Date 19/05/2016",
